	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
anisotremus	9736.185998	5634.961849	160.8961294	9614.160012	145.8242738	0	127.8312313	586.3774974	188.9265433	4041.815614	2229.50736	84551.50677	40866.78184	11187.70993	11694.01372	3520.237787	278.927866	14542.70027	0	0	7643.324672	53563.30761	0	19678.89182
antennarius	0	54.16504144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anthias	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5291631	0
apogon	0	132.7818135	0	0	0	0	0	0	9.804921839	0	3.431830965	0	1.715915483	0	0	0	0	0	0	8.579577413	3.431830965	3.431830965	1.715915483	30.33137676
archosargus	0	0	0	0	0	0	0	0	2597.894379	0	0	0	0	0	0	0	594.951528	13418.21201	0	0	0	160.7639625	0	0
aulostomus	0	124.3025008	67.80037144	1384.399687	0	0	1239.397258	250.6255042	0	1115.552283	0	0	0	0	498.0131932	137.4128128	0	222.3941319	0	0	0	0	5410.404304	0
balistes	260.4873003	286.9313974	250.7337484	0	0	0	0	0	2610.832439	0	0	0	239.3383883	0	1489.127316	0	0	0	0	478.6767766	0	0	0	14641.13029
bathygobius	0	0	0	0	0	0	0	0	0	0	205.0073993	0	0	0	0	0	0	0	0	0	0	2.824459113	0	0
batrachoididae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256524865	0	0	0	0	0	0	0
belon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.9088129	0	0	0	0	0	0	0	0
bodianus	0	6782.075675	76.05151976	1116.741991	80.50325763	5.504070264	1373.266704	444.8817592	0	5301.040337	623.4657819	30506.78862	10857.1546	647.5365219	1038.327749	27.5716983	0	10501.76397	27.5716983	0	4552.059744	4672.101399	6548.844795	41801.38738
bothus	0	1589.388507	0	0	0	0	300.5714702	0	0	94.00198152	21.12668622	54.55399061	21.12668622	0	0	24.07345578	0	0	66.32682822	115.3055739	157.3820402	5.893539122	0	113.3734164
calamus	114.0089718	97.52362197	275.3546972	0	0	0	0	38.12843893	4907.66672	0	0	431.5875947	1714.345759	0	3959.06836	0	565.0359345	0	0	0	180.4531572	0	0	0
callionymus	0	12.92743356	0	0	0	0	0	0	0	0	0	0	0	0	2.212772786	0	0	0	0	0	0	0.994417966	0	0.994417966
cantherhines	826.4251354	2382.618188	56.04762972	95.46766683	25.44856253	0	375.1803583	73.42840074	0	3078.964155	0	68.8385509	571.3721394	0	789.0259221	25.44856253	0	6135.382976	25.44856253	0	278.4356393	0	13847.19269	18771.64117
canthidermis	0	0	0	0	0	0	0	235.9854601	0	0	0	0	0	0	409.0555078	645.0409679	0	0	0	0	0	0	50855.48796	28128.21379
canthigaster	51.21308961	1812.682969	93.12761781	23.83895617	0	5.455916049	762.9161761	135.7469919	0	901.7591877	38.19141234	646.5568474	40.91937037	35.82418419	1088.345291	2.727958024	0.866755069	47.37192657	64.23476688	0	94.860418	247.2634611	0	94.24230515
carangidae	0	0	0	0	0	0	0	0	917.2418054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carangoides	0	0	167.8408379	0	36.66751124	0	56.70733335	0	56.70733335	0	0	0	0	13491.35556	3019.752577	2168.011318	0	2128.59452	0	20782.48141	204.3529408	0	0	0
caranx	5207.259995	6784.565499	509.0183547	258.6280265	0	0	1218.337838	1238.411084	0	4759.111712	364.6105488	38526.71781	1170.119885	722.2953876	3397.186791	1071.158977	934.6002586	2499.598512	0	2420.878622	0	19955.98855	44734.05989	34777.11188
carcharhinus	0	0	0	0	0	5226.642554	0	0	0	0	0	0	0	0	0	46.57305393	0	0	0	1402.917339	0	0	0	17225.82496
centropomus	0	0	0	0	0	0	0	0	0	0	0	8647.567731	0	0	0	0	0	0	0	0	0	15723.02643	0	0
centropristis	0	0	0	0	0	0	0	0	26349.64988	0	0	0	0	0	0	0	8939.701875	0	0	0	0	0	0	0
centropyge	0	29.67926516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cephalopholis	0	0	1039.618318	0	1881.136819	28.50550194	4563.103225	142.8830731	0	1513.208891	0	0	0	0	2245.703208	27788.83846	0	7335.478178	0	9578.713166	337.3418253	0	0	718869.6365
chaetodipterus	0	0	0	17745.77225	0	0	0	0	85749.57639	0	0	5382.795182	0	25846.22171	0	0	377.2890522	24059.48051	0	0	2290.666126	2673.79766	0	0
chaetodon	2044.389008	33987.89915	857.3992856	563.9449416	119.8105495	24.40538017	1911.581086	2323.182314	67.57664479	5915.527752	2504.254431	4074.789218	760.7051897	430.4823429	5982.204247	101.3649672	256.6413862	713.8969861	1001.517489	2742.881727	616.5666801	8511.938774	1916.784343	4760.947745
