	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
2_c2_1_1	664.910757	13694.27874	1.170799874	616.556988	11.84487552	0	39.4055001	0	1437.645938	2538.920433	260.8227412	230.2107604	30.33235105	94.66883914	25.29563122	997.8007955	220.206715	1995.424318	0	12.99957902	42.88010573	1604.832584	751.8863743	197.963667
2_c2_1_2	0	0	0	0	0	0	0	0	0	0	12.71006601	0	0	0	0	0	0	0	0	0	0	0	0	0
2_c2_1_3	0	0	0	0	0	33.98347473	43.49513883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_c2_2_1	52.18319718	3061.183018	271.0690741	23.83895617	0	11.80170596	1362.290842	437.2463752	0	904.6695104	38.19141234	646.5568474	40.91937037	35.82418419	1110.949278	6.608388323	2.774612005	47.37192657	64.23476688	0	94.860418	247.2634611	5.595443067	576.2429217
2_c2_2_2	0	0	156.9672753	32.54034392	0	5.595443067	40.74130646	452.7206415	67.57664479	0	0	0	0	324.4702872	637.7639562	101.3649672	256.6413862	180.124815	0	2742.881727	0	0	0	0
2_c2_3_1	0	0	2187.195291	0	0	68.53442335	4507.178731	408.3331571	22.69632569	0	0	0	0	0	1075.84295	0	0.866755069	0	0	0	0	0	0	0
2_c3_2_2	0	0	442.7658692	0	0	18.80993711	1676.135231	1194.430017	0	0	0	0	0	0	4712.592037	0	0	0	0	0	0	0	0	0
2_c3_3_1	7.233198736	661.849702	0	0	0	0	0	0	98.59148419	614.1987866	95.30183082	660.7608617	80.83543335	0	24.04510449	0	2.175223074	3.679181996	0	0	177.9779209	7795.079978	0	369.0055213
2_d_1_1	0	87.6111519	0	0	0	0	196.1500766	0	0	0	0	28.8236424	2.737848497	0	0	0	0	0	2.737848497	5020.559132	0	15.05816673	0	101.3003944
2_d_1_3	87.87825956	1481.414616	0	3.489445516	263.6145523	0	5.380877751	39.6593548	0	65.13631629	1134.723067	1185.090868	9.305188041	7.118374107	0	434.6941605	0	13.95778206	0	8913.644221	2867.161065	4287.953331	0	100.0307714
2_h2_1_1	3557.91516	50531.8741	2519.406603	4.748452993	15678.16548	114.0023598	31736.95947	8608.408116	1110.089487	7722.936055	2544.089435	20595.60736	1912.474453	342.877986	4784.937323	2322.71636	353.2122571	4036.35287	125.047221	25110.54341	4110.83991	43299.7541	36785.42507	15263.35257
